id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1558214,41.297311,-72.893586,Open,Multiple potholes line the street,"On Fairmont ave between 153 and 159 potholes line both sides of the street! Some deep and others upheaved tar, but it is a driving hazard! This is a second request for repair. Please can you help???",2,2015-03-28T11:45:59-04:00,2015-03-28T11:53:48-04:00,,None
1558037,41.307789261817,-72.933864953373,Open,Potholes - Test,"KH - my apologies, i'm doing a test, please disregard - DH",2,2015-03-28T09:30:56-04:00,2015-03-28T09:57:30-04:00,,2015-03-28T09:32:25-04:00
1558035,41.3344007,-72.9566641,Open,potholes,In front of Common Ground high school. Lots of unsafe potholes.,2,2015-03-28T09:29:18-04:00,2015-03-28T13:40:41-04:00,,None
1557983,41.325467,-72.87858,Open,stop sign down,"stop sign down on donna dr and barnes ave.......
",1,2015-03-28T08:42:20-04:00,2015-03-28T09:16:22-04:00,,None
1556707,41.3092976686095,-72.89147620401,Open,Potholes,Crumbling asphalt surrounding utility man hole cover. ,2,2015-03-27T17:36:06-04:00,2015-03-27T17:38:18-04:00,,None
1556607,41.308927,-72.89972,Open,Policing Issue/Vagrants,"Vagrants living inside the hallways of 309-311 Grand Ave, (bakery/ & ""smoke shop"" on ground level) using the alley way as a public urinal and hanging in front of the bar 303 Grand Ave smoking their marijuana/blunts constantly begging pedestrians for money",2,2015-03-27T16:22:13-04:00,2015-03-27T18:04:00-04:00,,None
1556596,41.31016,-72.894782,Acknowledged,Potholes,Bright Street from Grand Ave midway to Pine St. numerous potholes that were patched yesterday (3/26) but because of the rain it washed the patch away on most of the holes,2,2015-03-27T16:10:58-04:00,2015-03-27T16:28:23-04:00,2015-03-27T16:28:23-04:00,None
1556582,41.3155339,-72.9009095,Acknowledged,Potholes,"Blatchley Ave from Peck St north to the railroad bridge, several potholes exist. many prior to the snow are now deeper ",3,2015-03-27T16:05:22-04:00,2015-03-27T21:56:36-04:00,2015-03-27T16:29:13-04:00,None
1556567,41.3281984643863,-72.9086624085903,Open,Potholes,Several deep potholes along farnam dr,2,2015-03-27T15:57:59-04:00,2015-03-27T18:41:56-04:00,,None
1556565,41.3049964978613,-72.9230041503906,Open,Bins for Trash & Recycling,,2,2015-03-27T15:57:26-04:00,2015-03-27T18:19:07-04:00,,None
1556510,41.3072866,-72.9286877,Open,Sign knocked over,This knocked-over sign impedes my ability to bike.,6,2015-03-27T15:37:24-04:00,2015-03-28T13:09:59-04:00,,None
1556509,41.2865459,-72.9005567,Acknowledged,Potholes,Major potholes along Connecticut Ave. Some will destroy the front end of a car.,3,2015-03-27T15:36:40-04:00,2015-03-27T18:18:21-04:00,2015-03-27T16:27:41-04:00,None
1556506,41.3085319,-72.9021204,Acknowledged,"Public Space, Streets and Drains",Sewers in front of Grand Market on Grand ave at the intersection both sewers are clogged. The sewer in front of the restaurant  the sewer start to back up before it rains,2,2015-03-27T15:35:30-04:00,2015-03-27T16:11:52-04:00,2015-03-27T16:11:52-04:00,None
1556428,41.30702,-72.923557,Open,(EONP) TEST,TEST,1,2015-03-27T14:55:30-04:00,2015-03-27T14:55:30-04:00,,None
